experiment_id,ablation_tag,dataset,model,seed,run_label,run_dir,status,started_at,finished_at,sota_method,sota_lambda,alpha_cell,meg_rw_alpha,ndcg@10,recall@10,mrr@10,expdev,tail_ratio,tail_head_ratio,exposure_ratio,ndcg_gap_max_min,ndcg_std,worst_group_ndcg,ndcg_niche,ndcg_semi_niche,ndcg_semi_mainstream,ndcg_mainstream,transfer_l1_shift,transfer_max_abs_shift,fairness_error
amazonbooks__bpr__seed0__baseline,,amazonbooks,bpr,0,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/amazonbooks/bpr/seed_0/baseline,failed,2026-04-16T06:24:47Z,2026-04-16T16:52:53Z,none,,,,,,,,,,,,,,,,,,,,
amazonbooks__lightgcn__seed0__baseline,,amazonbooks,lightgcn,0,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/amazonbooks/lightgcn/seed_0/baseline,failed,2026-04-16T03:03:46Z,2026-04-16T05:51:59Z,none,,,,,,,,,,,,,,,,,,,,
amazonbooks__ngcf__seed0__baseline,,amazonbooks,ngcf,0,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/amazonbooks/ngcf/seed_0/baseline,failed,2026-04-15T20:21:23Z,2026-04-15T20:32:48Z,none,,,,,,,,,,,,,,,,,,,,
amazonbooks__weighted_lightgcn__seed0__baseline,,amazonbooks,weighted_lightgcn,0,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/amazonbooks/weighted_lightgcn/seed_0/baseline,failed,2026-04-16T06:08:58Z,2026-04-16T06:10:48Z,none,,,,,,,,,,,,,,,,,,,,
lastfm__bpr__seed0__baseline,,lastfm,bpr,0,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/bpr/seed_0/baseline,success,2026-04-16T12:05:37Z,2026-04-16T12:08:22Z,none,,baseline,0.0,0.1593,0.1694,0.287,0.429918273231,0.00605095541401,0.00630426367306,0.00597246032185,0.208868210214,0.0809854064117,0.079299901709,0.079299901709,0.102839928657,0.165639614126,0.288168111923,,,
lastfm__bpr__seed1__baseline,,lastfm,bpr,1,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/bpr/seed_1/baseline,success,2026-04-24T12:08:03Z,2026-04-24T12:10:27Z,none,,baseline,0.0,0.1634,0.1719,0.3017,0.430555215907,0.00610403397028,0.00635113492019,0.0063511349202,0.177438430477,0.0675187359578,0.0939954793726,0.0939954793726,0.121641002791,0.165245078956,0.271433909849,,,
lastfm__bpr__seed2__baseline,,lastfm,bpr,2,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/bpr/seed_2/baseline,success,2026-04-24T12:10:30Z,2026-04-24T12:12:55Z,none,,baseline,0.0,0.1568,0.164,0.2872,0.429891733953,0.00605095541401,0.00630461232164,0.00624930870479,0.18372832746,0.0700362046152,0.0855301200694,0.0855301200694,0.113292010676,0.157969272207,0.269258447529,,,
lastfm__bpr__seed3__baseline,,lastfm,bpr,3,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/bpr/seed_3/baseline,success,2026-04-24T12:12:58Z,2026-04-24T12:15:22Z,none,,baseline,0.0,0.1665,0.1737,0.3022,0.429467105503,0.0062101910828,0.00647625373629,0.0064762537363,0.209989560592,0.0784899985105,0.0824058375761,0.0824058375761,0.125043419308,0.164741725792,0.292395398168,,,
lastfm__bpr__seed4__baseline,,lastfm,bpr,4,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/bpr/seed_4/baseline,success,2026-04-24T12:15:25Z,2026-04-24T12:17:50Z,none,,baseline,0.0,0.1618,0.1687,0.2993,0.428299377265,0.00541401273885,0.00565974919542,0.00565974919543,0.183489840076,0.0691912987997,0.0866373365856,0.0866373365856,0.120386441155,0.168925508469,0.270127176662,,,
lastfm__bpr__seed5__baseline,,lastfm,bpr,5,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/bpr/seed_5/baseline,success,2026-04-24T12:17:53Z,2026-04-24T12:20:17Z,none,,baseline,0.0,0.1671,0.1749,0.3061,0.431139080025,0.00658174097665,0.00683986982183,0.00562634453086,0.202135495518,0.0761214837269,0.0870935354731,0.0870935354731,0.123952440373,0.166576258488,0.289229030991,,,
lastfm__itemknn__seed0__baseline,,lastfm,itemknn,0,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/itemknn/seed_0/baseline,success,2026-04-16T12:22:35Z,2026-04-16T12:23:04Z,none,,baseline,0.0,0.1696,0.1672,0.3183,0.290958612934,0.089118895966,0.130691990348,0.130691990348,0.263352706022,0.0983148149674,0.0575375925201,0.0575375925201,0.11519179905,0.185612323259,0.320890298542,,,
lastfm__itemknn__seed1__baseline,,lastfm,itemknn,1,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/itemknn/seed_1/baseline,success,2026-04-24T13:22:31Z,2026-04-24T13:22:59Z,none,,baseline,0.0,0.1651,0.1685,0.3045,0.29329406941,0.0895966029724,0.130498647081,0.130498647082,0.229967717506,0.0860368504915,0.0680194754267,0.0680194754267,0.116766577134,0.178884037772,0.297987192933,,,
